City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Caravelas,BR,78.49,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
13,Bardiyah,LY,76.98,clear sky,31.7561,25.0865,بورتو بردية
16,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
20,Dirba,IN,80.01,scattered clouds,30.0667,75.9833,Victoria Resort
23,Sur,OM,84.79,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
27,Nicoya,CR,85.55,light rain,10.1483,-85.452,Las Cabinas Del Sueño
28,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
30,Salinopolis,BR,83.1,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
34,Manono,CD,85.23,broken clouds,-7.3,27.4167,Hotel hewa bora
38,Warri,NG,78.37,scattered clouds,5.5167,5.75,BON Hotel Delta
44,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
49,Hithadhoo,MV,83.44,clear sky,-0.6,73.0833,Scoop Guest House
54,Owando,CG,80.24,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
55,Maragogi,BR,78.53,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
59,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
60,Mahibadhoo,MV,82.11,broken clouds,3.7833,72.9667,Omadhoo Inn
61,Dabakala,CI,75.18,light rain,8.3667,-4.4333,Hôtel Campement
65,Ifo,NG,77.9,broken clouds,6.8144,3.1958,Footed Hotel and Suites
71,Bubaque,GW,81.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
72,Monrovia,LR,78.35,light rain,6.3005,-10.7969,Sunset Inn
74,Diamantino,BR,86.27,overcast clouds,-14.4086,-56.4461,Hotel Delta
82,Wukari,NG,77.54,overcast clouds,7.85,9.7833,Elimtop
86,Sal Rei,CV,84.76,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
88,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
89,Bonfim,BR,87.03,overcast clouds,3.0833,-59.95,
92,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
94,Maturin,VE,79.75,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
95,Mandera,KE,84.79,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
100,Cockburn Town,TC,85.96,few clouds,21.4612,-71.1419,Osprey Beach Hotel
102,Sao Filipe,CV,80.06,few clouds,14.8961,-24.4956,Hotel Xaguate
103,Canavieiras,BR,78.51,clear sky,-15.675,-38.9472,Bahiadomizil
104,Aripuana,BR,82.47,overcast clouds,-9.1667,-60.6333,
110,Ponta Do Sol,PT,79.0,overcast clouds,32.6667,-17.1,Hotel do Campo
113,Diego De Almagro,CL,75.36,clear sky,-26.3667,-70.05,hotel luna del desierto
119,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Poutur Pousada
