City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ayagoz,KZ,47.9714,80.4392,45.64,48,0,8.7,clear sky
1,Caravelas,BR,-17.7125,-39.2481,78.49,73,1,10.25,clear sky
2,Chuy,UY,-33.6971,-53.4616,53.51,95,100,12.24,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,64.51,73,76,31.74,broken clouds
4,Agadez,NE,19.75,10.25,94.35,13,95,5.57,overcast clouds
5,Busselton,AU,-33.65,115.3333,49.08,82,0,3.51,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.62,53,98,7.94,overcast clouds
7,Molchanovo,RU,57.5817,83.7692,43.21,92,100,10.04,overcast clouds
8,Eskilstuna,SE,59.3666,16.5077,62.8,91,22,4.88,few clouds
9,Medea,DZ,36.2642,2.7539,68.45,51,12,12.93,few clouds
10,Takab,IR,36.4009,47.1133,63.7,55,0,5.28,clear sky
11,Husavik,IS,66.0449,-17.3389,51.82,58,57,4.63,broken clouds
12,Cape Town,ZA,-33.9258,18.4232,71.11,59,100,1.99,overcast clouds
13,Bardiyah,LY,31.7561,25.0865,76.98,66,0,13.91,clear sky
14,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,90,100,10.96,overcast clouds
15,Saint-Joseph,RE,-21.3667,55.6167,70.16,81,27,5.82,light rain
16,Belmonte,BR,-15.8631,-38.8828,82.9,67,0,10.63,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,66.27,72,100,2.66,overcast clouds
18,Nhlangano,SZ,-27.1167,31.2,52.79,86,6,4.09,clear sky
19,Mahebourg,MU,-20.4081,57.7,69.26,78,6,9.53,clear sky
20,Dirba,IN,30.0667,75.9833,80.01,78,46,6.42,scattered clouds
21,Port Elizabeth,ZA,-33.918,25.5701,66.09,74,94,20.49,overcast clouds
22,Stavrovo,RU,56.1331,40.013,55.74,94,22,9.51,few clouds
23,Sur,OM,22.5667,59.5289,84.79,69,100,11.79,overcast clouds
24,Bantry,IE,51.6833,-9.45,63.88,94,89,8.88,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,53.71,35,0,21.85,clear sky
26,Almazar,UZ,40.3217,69.0106,73.11,38,0,7.87,clear sky
27,Nicoya,CR,10.1483,-85.452,85.55,79,100,4.0,light rain
28,Georgetown,MY,5.4112,100.3354,78.89,90,20,3.44,few clouds
29,Angoche,MZ,-16.2325,39.9086,74.26,70,0,11.07,clear sky
30,Salinopolis,BR,-0.6136,-47.3561,83.1,69,89,12.8,overcast clouds
31,Iqaluit,CA,63.7506,-68.5145,39.09,72,100,10.6,overcast clouds
32,Brae,GB,60.3964,-1.353,55.31,97,100,14.45,overcast clouds
33,Constitucion,CL,-35.3333,-72.4167,61.48,58,2,13.4,clear sky
34,Manono,CD,-7.3,27.4167,85.23,38,72,3.22,broken clouds
35,Saldanha,ZA,-33.0117,17.9442,59.5,67,100,10.94,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,10.36,broken clouds
37,Acari,PE,-15.4311,-74.6158,72.63,59,49,7.27,scattered clouds
38,Warri,NG,5.5167,5.75,78.37,87,27,5.75,scattered clouds
39,Saint George,US,37.1041,-113.5841,102.67,22,1,0.0,clear sky
40,Refojos De Basto,PT,41.5132,-7.9952,64.9,96,100,4.41,overcast clouds
41,Cidreira,BR,-30.1811,-50.2056,68.67,59,0,11.39,clear sky
42,Lasa,IT,46.6166,10.7002,64.31,87,48,2.91,scattered clouds
43,Kilemary,RU,56.7783,46.8659,51.06,91,92,7.16,overcast clouds
44,Touros,BR,-5.1989,-35.4608,83.3,64,7,16.33,clear sky
45,Hermanus,ZA,-34.4187,19.2345,70.9,58,100,9.82,overcast clouds
46,Peniche,PT,39.3558,-9.3811,74.68,89,32,8.39,scattered clouds
47,Rabo De Peixe,PT,37.8,-25.5833,72.91,73,20,11.5,few clouds
48,Arys,KZ,42.4252,68.795,64.62,20,99,14.2,overcast clouds
49,Hithadhoo,MV,-0.6,73.0833,83.44,69,10,9.42,clear sky
50,Lebu,CL,-37.6167,-73.65,55.63,80,7,14.52,clear sky
51,Kouvola,FI,60.8667,26.7,52.12,100,90,2.3,overcast clouds
52,Hofn,IS,64.2539,-15.2082,50.7,64,100,3.13,overcast clouds
53,Beloha,MG,-25.1667,45.05,65.07,77,1,10.87,clear sky
54,Owando,CG,-0.4819,15.8999,80.24,64,85,2.42,overcast clouds
55,Maragogi,BR,-9.0122,-35.2225,78.53,75,17,8.79,few clouds
56,Jamestown,US,42.097,-79.2353,70.09,58,40,10.0,scattered clouds
57,Potsdam,DE,52.3989,13.0657,74.05,64,0,6.22,clear sky
58,Leh,IN,34.1667,77.5833,59.43,56,68,1.79,broken clouds
