City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Skibbereen,IE,2021-09-09 18:27:51,51.55,-9.2667,66.0,89,69,14.47
1,Touros,BR,2021-09-09 18:27:51,-5.1989,-35.4608,85.1,59,13,16.58
2,Ilulissat,GL,2021-09-09 18:27:52,69.2167,-51.1,35.62,69,75,11.5
3,Ponta Do Sol,PT,2021-09-09 18:27:52,32.6667,-17.1,79.0,78,98,1.81
4,Cuiaba,BR,2021-09-09 18:27:16,-15.5961,-56.0967,93.2,34,30,7.83
5,Arraial Do Cabo,BR,2021-09-09 18:26:24,-22.9661,-42.0278,82.36,78,0,17.27
6,Paamiut,GL,2021-09-09 18:27:52,61.994,-49.6678,43.56,94,100,4.32
7,East London,ZA,2021-09-09 18:27:53,-33.0153,27.9116,63.54,77,20,17.27
8,Cape Town,ZA,2021-09-09 18:23:27,-33.9258,18.4232,71.11,51,0,1.99
9,Hakkari,TR,2021-09-09 18:27:53,37.5833,44.1667,61.02,58,29,4.45
10,Hermanus,ZA,2021-09-09 18:27:53,-34.4187,19.2345,70.9,60,73,10.76
11,Vestmanna,FO,2021-09-09 18:27:53,62.1564,-7.1664,47.32,87,40,3.44
12,Rio Gallegos,AR,2021-09-09 18:27:54,-51.6226,-69.2181,60.85,17,75,5.75
13,Torbay,CA,2021-09-09 18:27:55,47.6666,-52.7314,71.76,73,75,10.36
14,Bathsheba,BB,2021-09-09 18:27:55,13.2167,-59.5167,88.41,66,20,19.57
15,Pangnirtung,CA,2021-09-09 18:27:55,66.1451,-65.7125,37.4,81,40,10.36
16,Narsaq,GL,2021-09-09 18:27:55,60.9167,-46.05,50.22,67,96,4.32
17,Marovoay,MG,2021-09-09 18:27:56,-16.1,46.6333,77.14,62,1,3.91
18,Grand-Santi,GF,2021-09-09 18:27:56,4.25,-54.3833,91.33,46,84,4.36
19,Ushtobe,KZ,2021-09-09 18:27:56,45.2514,77.9838,60.17,38,3,8.46
20,Ushuaia,AR,2021-09-09 18:25:22,-54.8,-68.3,51.46,43,40,13.8
21,Busselton,AU,2021-09-09 18:27:57,-33.65,115.3333,50.09,83,0,4.56
22,Bredasdorp,ZA,2021-09-09 18:27:57,-34.5322,20.0403,66.27,88,67,3.44
23,Kilindoni,TZ,2021-09-09 18:27:57,-7.9139,39.6668,76.64,77,22,13.31
24,Iquitos,PE,2021-09-09 18:27:57,-3.7481,-73.2472,91.44,58,75,5.75
25,Sabang,ID,2021-09-09 18:27:58,5.8933,95.3214,81.72,74,100,23.69
26,Dikson,RU,2021-09-09 18:27:58,73.5069,80.5464,41.79,83,41,7.11
27,Ribeira Grande,PT,2021-09-09 18:27:58,38.5167,-28.7,73.8,88,75,10.36
28,Castro,BR,2021-09-09 18:27:59,-24.7911,-50.0119,67.19,79,100,8.68
29,Port Alfred,ZA,2021-09-09 18:27:59,-33.5906,26.891,64.99,72,87,30.33
30,Padang,ID,2021-09-09 18:27:59,-0.9492,100.3543,75.25,87,18,3.4
31,Zenzeli,RU,2021-09-09 18:27:59,45.9241,47.0474,63.01,39,0,8.5
32,Lagoa,PT,2021-09-09 18:28:00,39.05,-27.9833,72.37,84,100,12.55
33,Victoria,HK,2021-09-09 18:26:25,22.2855,114.1577,86.32,80,85,10.13
34,Stornoway,GB,2021-09-09 18:28:00,58.2093,-6.3865,57.16,94,90,18.41
35,Dingle,PH,2021-09-09 18:28:00,10.9995,122.6711,76.23,92,100,8.81
36,Lujan,AR,2021-09-09 18:28:01,-34.5703,-59.105,58.03,92,100,14.0
37,San Pedro De Uraba,CO,2021-09-09 18:28:01,8.2752,-76.3764,84.33,78,99,1.9
38,Lebu,CL,2021-09-09 18:28:02,-37.6167,-73.65,55.85,79,76,14.27
39,Coihaique,CL,2021-09-09 18:28:02,-45.5752,-72.0662,56.01,58,75,8.05
40,Ponferrada,ES,2021-09-09 18:28:02,42.5466,-6.5962,64.81,95,77,3.0
41,Domoni,KM,2021-09-09 18:28:03,-12.2569,44.5319,75.7,80,9,4.7
42,Mar Del Plata,AR,2021-09-09 18:24:19,-38.0023,-57.5575,51.82,93,90,25.32
43,Caconda,AO,2021-09-09 18:28:03,-13.7333,15.0667,77.79,23,54,3.69
44,Port Elizabeth,ZA,2021-09-09 18:24:35,-33.918,25.5701,67.1,82,40,21.85
45,Saint-Philippe,RE,2021-09-09 18:28:03,-21.3585,55.7679,71.15,82,48,7.63
46,Carutapera,BR,2021-09-09 18:28:03,-1.195,-46.02,85.44,62,70,10.09
47,Cayenne,GF,2021-09-09 18:28:04,4.9333,-52.3333,86.04,78,75,7.0
48,Upernavik,GL,2021-09-09 18:28:04,72.7868,-56.1549,33.35,81,98,6.71
49,Penzance,GB,2021-09-09 18:28:04,50.1186,-5.5371,65.41,92,62,10.2
50,Moroni,KM,2021-09-09 18:28:05,-11.7022,43.2551,73.4,78,20,3.44
51,Viedma,AR,2021-09-09 18:28:05,-40.8135,-62.9967,63.91,38,2,2.71
52,Longyearbyen,SJ,2021-09-09 18:28:05,78.2186,15.6401,39.04,70,75,5.75
53,Salinas,US,2021-09-09 18:28:05,36.6777,-121.6555,90.57,66,1,8.05
54,Tabuk,PH,2021-09-09 18:28:06,17.4189,121.4443,73.83,95,96,2.35
55,Jamestown,US,2021-09-09 18:23:20,42.097,-79.2353,70.02,60,1,4.0
56,Kunnamangalam,IN,2021-09-09 18:28:06,11.3046,75.8777,77.63,92,49,3.2
57,Sao Joao Da Barra,BR,2021-09-09 18:28:06,-21.6403,-41.0511,82.49,76,6,19.6
58,Mega,ET,2021-09-09 18:28:07,4.05,38.3,64.89,58,89,7.02
59,Itarema,BR,2021-09-09 18:28:07,-2.9248,-39.9167,85.39,55,49,18.3
60,Harer,ET,2021-09-09 18:28:07,9.3094,42.1258,63.12,69,68,5.46
61,Road Town,VG,2021-09-09 18:27:07,18.4167,-64.6167,91.44,62,40,5.75
62,Constantine,DZ,2021-09-09 18:25:16,36.365,6.6147,76.41,69,40,11.5
63,Tabou,CI,2021-09-09 18:28:08,4.423,-7.3528,78.33,86,60,10.22
64,Den Helder,NL,2021-09-09 18:25:32,52.9599,4.7593,68.95,88,90,9.22
65,Namanga,KE,2021-09-09 18:28:08,-2.5433,36.7905,70.88,53,89,10.42
66,Qaanaaq,GL,2021-09-09 18:28:08,77.484,-69.3632,24.93,71,71,6.53
67,Punta Arenas,CL,2021-09-09 18:28:08,-53.15,-70.9167,51.91,35,0,24.16
68,Atar,MR,2021-09-09 18:28:09,20.5169,-13.0499,110.75,6,47,19.33
69,Florianopolis,BR,2021-09-09 18:28:09,-27.6146,-48.5012,80.26,68,20,16.11
70,Panormos,GR,2021-09-09 18:28:09,35.4182,24.6909,75.06,76,33,6.8
71,Luanda,AO,2021-09-09 18:24:57,-8.8368,13.2343,73.4,88,20,10.36
72,Uncia,BO,2021-09-09 18:28:10,-18.467,-66.5685,61.09,30,44,14.16
73,Yashkul,RU,2021-09-09 18:28:10,46.1711,45.3435,65.88,28,0,6.58
74,Nizhniy Chir,RU,2021-09-09 18:28:10,48.3597,43.0865,63.03,43,34,8.7
75,Sisimiut,GL,2021-09-09 18:28:11,66.9395,-53.6735,38.12,58,30,12.93
76,Tasiilaq,GL,2021-09-09 18:28:11,65.6145,-37.6368,50.16,50,2,12.8
77,Mecca,SA,2021-09-09 18:28:11,21.4267,39.8261,91.53,55,90,1.32
78,Kogon,UZ,2021-09-09 18:28:12,39.7228,64.5517,71.24,18,0,13.8
79,La Ceiba,HN,2021-09-09 18:28:12,15.7597,-86.7822,89.15,79,75,5.75
80,Boa Vista,BR,2021-09-09 18:28:12,2.8197,-60.6733,93.18,46,75,10.36
81,Mahebourg,MU,2021-09-09 18:28:12,-20.4081,57.7,71.26,88,40,3.44
82,Pisco,PE,2021-09-09 18:25:13,-13.7,-76.2167,66.02,77,0,10.36
83,Malyye Derbety,RU,2021-09-09 18:28:13,47.9547,44.6808,64.51,32,27,6.46
84,Belmonte,BR,2021-09-09 18:28:13,-15.8631,-38.8828,84.7,61,39,11.05
85,Elizabeth City,US,2021-09-09 18:28:13,36.2946,-76.2511,80.65,92,90,4.0
86,Zhmerynka,UA,2021-09-09 18:28:14,49.037,28.112,57.22,43,11,5.23
87,Natal,BR,2021-09-09 18:28:14,-5.795,-35.2094,84.85,58,40,17.27
88,Thunder Bay,CA,2021-09-09 18:26:09,48.4001,-89.3168,69.57,58,40,8.05
89,Korla,CN,2021-09-09 18:28:14,41.7597,86.1469,79.83,19,0,2.3
90,Kavaratti,IN,2021-09-09 18:28:14,10.5669,72.642,82.0,80,72,12.26
91,Sur,OM,2021-09-09 18:28:15,22.5667,59.5289,85.33,68,97,12.82
92,Talcahuano,CL,2021-09-09 18:28:15,-36.7167,-73.1167,62.28,59,0,8.05
93,Kristiansund,NO,2021-09-09 18:28:15,63.1115,7.732,59.05,82,75,8.05
94,Rio Branco Do Sul,BR,2021-09-09 18:28:15,-25.19,-49.3142,74.82,73,100,4.94
95,Yarkovo,RU,2021-09-09 18:28:16,57.4028,67.0786,51.26,73,93,8.41
96,Nanortalik,GL,2021-09-09 18:28:16,60.1432,-45.2371,44.8,92,100,11.7
